id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28228039,Great Apartment Near Millennium Park & Loop,117470729,Ana Luisa,,Loop,41.88219,-87.6263,Entire home/apt,400,2,21,2019-03-30,2.83,14,195
28230730,"""Industrial Shabby Chic"" Guest Room in Hyde Park",100349227,Sarah,,Hyde Park,41.79999,-87.59504,Private room,45,2,28,2019-04-07,3.82,1,66
28236738,747 Birdie,207109604,Ginosi,,West Town,41.896,-87.65492,Entire home/apt,160,1,2,2019-03-18,0.29,22,353
28236779,747 Comet,207109604,Ginosi,,West Town,41.89461,-87.65595,Entire home/apt,160,1,1,2019-03-13,0.88,22,355
28236802,747 Eclipse,207109604,Ginosi,,West Town,41.89677,-87.65659,Entire home/apt,160,1,0,,,22,353
28236839,747 Equator,207109604,Ginosi,,West Town,41.89671,-87.65596,Entire home/apt,160,1,3,2019-01-28,0.55,22,329
28236865,747 Meteor,207109604,Ginosi,,West Town,41.89625,-87.65501,Entire home/apt,160,1,1,2019-02-22,0.57,22,364
28236884,747 Pilot,207109604,Ginosi,,West Town,41.89484,-87.65456,Entire home/apt,160,1,1,2018-10-21,0.17,22,362
28236949,747 Sunrise,207109604,Ginosi,,West Town,41.89612,-87.65483,Entire home/apt,160,1,2,2019-01-20,0.42,22,365
28236962,747 The Jet,207109604,Ginosi,,West Town,41.89519,-87.65678,Entire home/apt,160,1,0,,,22,353
28237130,747 Zenith,207109604,Ginosi,,West Town,41.89617,-87.65487,Entire home/apt,160,1,2,2018-12-14,0.38,22,361
28237161,747 Aurora,207109604,Ginosi,,West Town,41.89618,-87.65672,Entire home/apt,194,1,5,2019-03-26,1.06,22,362
28238620,747 Cloud,207109604,Ginosi,,West Town,41.89661,-87.65462,Entire home/apt,227,1,0,,,22,365
28238637,747 Flight,207109604,Ginosi,,West Town,41.89671,-87.65501,Entire home/apt,227,1,0,,,22,340
28238649,747 The Air,207109604,Ginosi,,West Town,41.89524,-87.65593,Entire home/apt,227,1,0,,,22,351
28238665,747 The Sky,207109604,Ginosi,,West Town,41.8959,-87.6547,Entire home/apt,227,1,0,,,22,358
28240739,Cozy Wicker Park Garden Unit,48074193,Zalika,,West Town,41.9125,-87.67404,Private room,60,2,16,2019-03-17,2.35,1,0
28246238,"VERY CLEAN, PRIVATE ROOM IN WEST LOOP WITH PARKING",55976787,Natalia,,Near West Side,41.88035,-87.6398,Private room,10,1,60,2019-03-31,8.29,38,284
28246274,Private Bedroom on Cute Street,44187001,Richard,,Rogers Park,42.0007,-87.67342,Private room,40,2,3,2019-03-31,0.43,1,83
28246501,Upscale City Living,213346566,Shanice,,Near South Side,41.85372,-87.62359,Entire home/apt,150,1,29,2019-04-11,4.60,3,47
28248684,Wyndham Grand Chicago Riverfront,7434950,Kathy,,Loop,41.88632,-87.62621,Private room,350,3,0,,,1,0
28253363,"Private Cozy Unit w/ Projector, Parking, & Laundry",5838524,Caroline,,Portage Park,41.93887,-87.77351,Entire home/apt,72,2,10,2019-04-08,1.63,1,3
28253630,Chicago Apartment,213399531,Christine,,Englewood,41.78414,-87.64541,Private room,150,1,0,,,1,0
28253638,North Center/Roscoe Village Single Family Home,8330730,Ed,,North Center,41.94737,-87.68984,Entire home/apt,200,2,1,2018-09-16,0.14,1,178
28254494,Private bedroom and bathroom in West Town,23562126,Brendan,,West Town,41.89446,-87.67775,Private room,95,2,15,2019-04-13,2.05,1,114
28254579,Entire 2-bed 2-bath Apartment - Heart of the City,181367463,Sahar,,Loop,41.87244,-87.62736,Entire home/apt,400,2,6,2019-04-01,1.18,5,226
28255487,Monthly room walking distance from Wicker Park!,9945696,Katelyn,,West Town,41.90631,-87.68908,Private room,35,5,3,2019-04-08,0.47,2,0
28257840,Beautiful comfy quiet spot w private entrance,20365985,Brianne,,Logan Square,41.91506,-87.70933,Private room,60,1,14,2019-04-07,2.12,1,358
28260301,Convenient Brand New 3 Bedroom Apartment w/WIFI,213450737,John,,Bridgeport,41.84542,-87.64562,Entire home/apt,198,1,31,2019-04-14,4.25,1,299
28269910,Chicago Apartment,211457922,Montrell,,Washington Park,41.79616,-87.62196,Private room,650,7,0,,,1,365
28281379,"Cozy, quiet, artsy, vintage, queer-friendly room",36541232,G,,West Town,41.90431,-87.6872,Private room,40,4,5,2019-01-03,0.71,2,8
28283291,Little Village Chicago Apartment,155965316,Spring,,North Lawndale,41.85958,-87.69544,Private room,100,2,1,2018-09-17,0.14,1,88
28285513,Lofty B &B 10 minutes from the Loop & trail.,212240618,Felicia,,Logan Square,41.91442,-87.71793,Private room,100,3,1,2018-10-07,0.16,3,0
28287649,Home away from home!,60521191,Sonia,,Lincoln Park,41.91605,-87.63938,Entire home/apt,300,2,5,2019-03-17,0.76,2,354
28300542,"Comfortable North Center Garden Apartment, 2BR",127245480,Paula,,North Center,41.95681,-87.67731,Entire home/apt,150,2,10,2019-04-02,1.39,1,65
28300837,Massive Logan Square/Avondale Apartment,69567001,Laura,,Avondale,41.93322,-87.69285,Entire home/apt,200,1,0,,,1,0
28301181,"Beautiful 1BDRM + patio, walk2food&fun + parking",20219787,Shara,,West Town,41.90076,-87.69963,Entire home/apt,100,1,29,2019-03-23,4.05,1,48
28302444,Gorgeous Wicker Park Condo,188313995,Vincent,,West Town,41.89782,-87.66735,Entire home/apt,269,1,6,2018-11-18,0.88,4,354
